destination,Name,distance,property_url,rating,remark,locationScore,stars,price,payment,total_reviews
Manali Himachal Pradesh,Royal Park Resorts,1 km from centre,https://www.booking.com/hotel/in/royal-park-resorts.en-gb.html?,7.7,Good,0,0,"₹ 12,830",FREE cancellation • No prepayment needed,4
Manali Himachal Pradesh,Woodrock Hotel,0.8 km from centre,https://www.booking.com/hotel/in/woodrock.en-gb.html?,8.1,Very good,0,3,"₹ 13,662",Free cancellation,35
Manali Himachal Pradesh,Moustache Manali,1.6 km from centre,https://www.booking.com/hotel/in/moustache-manali.en-gb.html?,8.8,Fabulous,9.5,0,"₹ 5,734",Free cancellation,422
Manali Himachal Pradesh,Hotel Woodlines,1 km from centre,https://www.booking.com/hotel/in/woodlines-manali.en-gb.html?,6.3,Review score,0,2,"₹ 1,887",,12
Manali Himachal Pradesh,manu villa,1.2 km from centre,https://www.booking.com/hotel/in/hadimba-homes.en-gb.html?,9.3,Superb,9.5,0,"₹ 6,000",FREE cancellation • No prepayment needed,48
Manali Himachal Pradesh,Village House - A Perfect Home Stay,1.1 km from centre,https://www.booking.com/hotel/in/amneu-village-house.en-gb.html?,7.6,Good,0,0,"₹ 1,980",Free cancellation,77
Manali Himachal Pradesh,Leela Cottages Manali,3.7 km from centre,https://www.booking.com/hotel/in/leela-cottages-manali.en-gb.html?,8.1,Very good,0,3,"₹ 9,000",FREE cancellation • No prepayment needed,20
Manali Himachal Pradesh,Roop Mountain Homestay,1 km from centre,https://www.booking.com/hotel/in/roop-family-house.en-gb.html?,8.8,Fabulous,9.5,0,"₹ 2,397",,5
Manali Himachal Pradesh,La Voglia-Old Manali,1.8 km from centre,https://www.booking.com/hotel/in/folklore-hostel-manali.en-gb.html?,8.9,Fabulous,0,0,"₹ 3,900",Free cancellation,149
Manali Himachal Pradesh,Mastiff Grand Manali Resort,200 m from centre,https://www.booking.com/hotel/in/aveda-manali.en-gb.html?,7.6,Good,0,4,"₹ 15,564",FREE cancellation • No prepayment needed,15
Manali Himachal Pradesh,Hotel Suryansh,1.1 km from centre,https://www.booking.com/hotel/in/suryansh-manali.en-gb.html?,8.4,Very good,0,4,"₹ 11,250",FREE cancellation • No prepayment needed,7
